Summary,Description,Issue Type,Priority,Component/s,Status
cant login bitbucket cant use software,suddenly sourcetree gave error configuration reconfigure itit starts installation screen able connect bitbucket right login makes redirect localhost installer keep waiting login processresult unable use source tree,bug,Low,Bitbucket,Needs Triage
keep staged changes checkbox doesnt work stashing changes,stash dialog keep staged changes checkbox doesnt workwhen check press ok stash dialog checkbox checked changes discarded working tree could select proper affected version pick imagepng,bug,Low,General,Needs Triage
crash,helloone two minutes iaunching sourcetree screen freezesi cant anything thatmy solution closing sourcetree task managerusing version windows bit fix itthx,bug,Low,Git,Needs Triage
pull requests shown packages source tree windows version,packages refreshing new pull requests automatically refresh button suggestible viewing new pull requests dashboard source tree,bug,Low,General,Needs Triage
external diff logged file opens diff selected file repo,choose external diff log window rather opening diff file logging opens diff file selected main sourcetree window,bug,Low,General,Needs Triage
global ignore file working windows,got new pc ported settings new one old pc win ann new one win global gitignore file set git settings used display sourcetree used command line gitit seems old issue also reported maybe also related srctreewin,bug,Low,Git,Needs Triage
continue rebase fails,basically want report againby time write low priority bug closed obsolete years ago time time users including add comments still experiencing issue guess closed bug wont get much attention open new one,bug,Low,Git,Short Term Backlog
config file sourcetreeconfigjson reset start sourcetree,file sourcetreeconfigjson store git folder always refresh clean empty version every launch sourcetree annoying lost lot config made every local git repository,bug,Low,General,Needs Triage
name repos,names repos opened one want open second open first,bug,Low,Git,Needs Triage
whenever start sourcetree get tiny pageant credentials dialog,installed sourcetree chose install mercurial using app git started getting pageant credentials dialog whenever start sourcetree app think remember pageant connected mercurial though im sure whenever start sourcetree get tiny pageant credentials dialog wants enter passphrase specific key listed hexi found pageantexe putty folder reason thought installed mistake deleted pageantexe however start sourcetree still get pageant credentials dialog search online pageant app get application forms miss whatever beauty pageants idea pageant app would try start sourcetree starts think might mercurial chose component using mercurial use gitnote seeing unreleased version sourcetree may explain uninstall install latest released version sounds like lot work dont time today,bug,Low,MercurialCredentialManager,Needs Triage
modificar medico,al intentar modificar la seccin de la identificacin del medico el sistema deja hacerlo sabiendo que la identificacin es un numero nico al que se le pueden hacer modificaciones,bug,Low,branch,Needs Triage
crear medico,al intentar crear un usuario de tipo medico se exigen ingresar unos valores en los campos solicitados uno de ellos es identificacion que debe tener solo caracteres de tipo enteros pero al ingresar caracteres de tipo string aun asi deja crearlos,bug,Low,Git,Needs Triage
crash show explorer,pressed show explorer crash occurshere dump,bug,Low,General,Needs Triage
source tree unable recognize deleted brunches tool,brunch deleted local origin using gitkraken verified git brunch deleted git bash well however brunch still shows source tree even refresh fetch origin try delete brunch actually pushes brunch remote delete,bug,Low,branch,Needs Triage
github basic login pat fails unhelpful error,background since github phasing basic login password important login pat simple works users issue sourcetree fail basic login pat unless specific nonobvious permission granted enabled default github gui repro create personal access token github developer options default permissions repo permissions use pat password sourcetree basic login fails message affect user found fix user must check useremail permission checked default otherwise sourcetree fail login imagepngsince hard guess needed disabled default github would great sourcetree could give hint error ie useremail permission set patassuming permission really necessary login common operationsif even better would login succeeding without note sourcetree version affects versions dropdown doesnt accept selected,bug,Low,Git,Needs Triage
new files shown unstaged set clean,situations new files shown unstaged files pending activeim sure situations yetthe git command used sourcetree git c diffmnemonicprefixfalse c corequotepathfalse nooptionallocks status porcelain ignoresubmodulesdirty untrackedfilesall noaheadbehind includes prefixed however sourcetree refuses show pending untracked clean annoying bug since may forget add files,bug,Low,Git,Needs Triage
sourcetree hangs mousewheel diff area bottom right corner,bug also reported sourcetree macsourcetree hangs click mouse wheel different area bottom right cornerit seems happens click diff xaml filebelow configuration hang sourcetree clicking resourcexaml trying scroll bottom right area highlights different code patch program hang response click areaim using latest version,bug,Low,Bitbucket,Needs Triage
typo german translation pulling branch,ive found type gui probably german translation didnt check enter menu rightclick branch nameit hole branchname instead holebranchname space missingimagepng,bug,Low,General,Long Term Backlog
cant add one azure devops account different emailsusers wrong user sent,remote accounts account set azure devopsas reference accountdomaincommailtoaccountdomaincom member member trying add another devops account sourcetree accountdomaincommailtoaccountdomaincom also linked organization devopsas reference accountdomaincommailtoaccountdomaincom member problem seems username accountdomaincommailtoaccountdomaincom sent instead pat authenticate devops orgnaisationto following steps select tools menu select options select authentication tab list accounts displayed including existing connection azure devops click add add new account select azure devops hosting service enter url different organization click refresh personal access token enter pat username password click ok checking password wheels spin error comes back followscoloraan account already exists accountdomaincomorganizationvisualstudiocomcolorso according error accountdomaincommailtoaccountdomaincom passed username instead trying use username send since accountdomaincom way related account trying setup must bug sent username instead username specify clicking ok username field changed accountdomaincommailtoaccountdomaincom even though username specified imagepng imagepng imagepng precise screenshots gerriepevolvemedcozamailtogerriepevolvemedcoza would accountdomaincom nothing trying setup somehow sourcetree populates info username error message,bug,Low,Git,Needs Triage
always add user document tab open process,open sourcetree v always add user document tabits git repo cause cpu become fulland add git repo tab always seen next time,bug,Low,Git,Needs Triage
stages unstaged files area getting updatedrefreshed,hi teamlast week updated sourcetree whatever changes ide getting updated source tree unstaged area see updated changes everytime need restart sourcetree things happing even staged fileswithwith push dont know whether someone else facing issue kindly please take prioritythis issue really frustrated please fix asap,bug,Low,General,Closed
staged files view update adding files,staged files view update adding files using split view uses one window staged files one unstaged adding files files disappear unstaged view show staged view f pressed guirefreshthis annoying seems happen since one last two updates since major gui overhaulversion atlassian cannot selected affected versions please fix,bug,Low,General,Needs Triage
sourcetree starts closes even uninstal remove local appdata list connections trying,application sourcetreeexeframework version vdescription process terminated due unhandled exceptionexception info sourcetreeexceptionsconnectivityexception sourcetreehostbitbucketserverbitbucketserverhostlistgroupingsforuserdmovenext systemruntimeexceptionservicesexceptiondispatchinfothrow systemruntimecompilerservicestaskawaiterhandlenonsuccessanddebuggernotificationsystemthreadingtaskstask sourcetreeviewmodelhostedhostedprojectsviewmodelrefreshgroupinglistdmovenext systemruntimeexceptionservicesexceptiondispatchinfothrow systemruntimecompilerservicestaskawaiterhandlenonsuccessanddebuggernotificationsystemthreadingtaskstask sourcetreeviewmodelhostedhostedprojectsviewmodelctorbdmovenext systemruntimeexceptionservicesexceptiondispatchinfothrow systemwindowsthreadingexceptionwrapperinternalrealcallsystemdelegate systemobject int systemwindowsthreadingexceptionwrappertrycatchwhensystemobject systemdelegate systemobject int systemdelegate systemwindowsthreadingdispatcheroperationinvokeimpl msinternalculturepreservingexecutioncontextcallbackwrappersystemobject systemthreadingexecutioncontextruninternalsystemthreadingexecutioncontext systemthreadingcontextcallback systemobject boolean systemthreadingexecutioncontextrunsystemthreadingexecutioncontext systemthreadingcontextcallback systemobject boolean systemthreadingexecutioncontextrunsystemthreadingexecutioncontext systemthreadingcontextcallback systemobject msinternalculturepreservingexecutioncontextrunmsinternalculturepreservingexecutioncontext systemthreadingcontextcallback systemobject systemwindowsthreadingdispatcheroperationinvoke systemwindowsthreadingdispatcherprocessqueue systemwindowsthreadingdispatcherwndprochookintptr int intptr intptr boolean byref mswinhwndwrapperwndprocintptr int intptr intptr boolean byref mswinhwndsubclassdispatchercallbackoperationsystemobject systemwindowsthreadingexceptionwrapperinternalrealcallsystemdelegate systemobject int systemwindowsthreadingexceptionwrappertrycatchwhensystemobject systemdelegate systemobject int systemdelegate systemwindowsthreadingdispatcherlegacyinvokeimplsystemwindowsthreadingdispatcherpriority systemtimespan systemdelegate systemobject int mswinhwndsubclasssubclasswndprocintptr int intptr intptr mswinunsafenativemethodsdispatchmessagesystemwindowsinteropmsg byref systemwindowsthreadingdispatcherpushframeimplsystemwindowsthreadingdispatcherframe systemwindowsapplicationrundispatchersystemobject systemwindowsapplicationruninternalsystemwindowswindow sourcetreeappmain,bug,Low,Bitbucket,Closed
sourcetree freezes scrolling,windows x gitsourcetree version frequent bug lately multiple times day view files diffs staging commit scroll bottom file freeze ui close process restartnot files trigger freeze one freeze everytime scrolldown reproduce bug easily end seems related diff context since reduce freeze doesnt occur files behavior changethe freeze instant soon diff panel hits endoffile freezesi didnt bug previous version,bug,Low,General,Closed
sourcetree crashes checkout bitbucket repo sourcetree,use checkout sourcetree function bitbucket checkout process finishes successfully sourcetree ui opened crashes sourcetree windows vwindows pro bit sp diagnostics popup content problemsignatur problemereignisname clrr problemsignatur sourcetreeexe problemsignatur problemsignatur ecc problemsignatur systemreactive problemsignatur problemsignatur bf problemsignatur f problemsignatur problemsignatur systemobjectdisposedexception betriebsystemversion gebietsschemaid zusatzinformation zusatzinformation baabeacc zusatzinformation bfbb zusatzinformation bfbbcccbdfaddfe,bug,Low,Bitbucket,Needs Triage
tags contain commas cut sourcetree history view,tags released versions contain commas eg shown correctly tags section sourcetree history view cut first comma,bug,Low,Git,Long Term Backlog
subtree dissappears stash reopening sourcetree,helloi creating successfully subtree remote repo pullpush successfully appears stashed tab lefthowever close reopen sourcetree subtree defined earlier disappearsit disappear close project tab reopen project without closing sourcetreei seen two post samesimilar problemlinklink links belong personi tried suggested solution clearing cache solve problemthe person charge developing part sourcetree posted since maybe left atlassian issue still therei already asked question forum replies since aprili tried problem still seems simple save issue maybe fixed easily,bug,Low,General,Needs Triage
error message failing conenction enough info,updated old version maybe windows program new one windows appeverything worked fien im trying pull branch errorimagepngnothing changed previous version checked repository settings see path ok githubmy companysomerepogitrepository details shows data able load itabout githubi use personal account also company accountthis repo company repoaccount access sshthe ssh unfortunately password previous version started asked provide password skippedignored step think error im sure wasnt able pullpush surethe new version never asks ssh password restarted many times checki created new record toolsoptionsauthentication requried otp code authorization github doneimagepngthat error message still helping access rights tool using itregardsalessandro piccione,bug,Low,Git,Closed
remote repositories search cant find repos,repos show dont searching remote repositoriesi running latest sourcetree latest git verified security issueas example many repos starting word third non showing list imagepng,bug,Low,Bitbucket,Needs Triage
sourcetree freesing large binary files,large binaries mb want check settings indicated dont want diff filetype bin also indicated dont want files mb still sourcetree trying diff files selecting staging causes sourcetree fo freeze long time continue operation unnecessary inconvenienti try operation using tourtoise git problem looks like sourcetree ignoring settings tries always display diff,bug,Low,General,Long Term Backlog
upload new application version server error,git c diffmnemonicprefixfalse c corequotepathfalse nooptionallocks push v tags origin mainmainfatal unable access failed connect githubcom port timed outpushing errors see,bug,Low,Git,Long Term Backlog
differing behavior launching terminal,discovered variant behavior getting git terminal changing environment variables windowssteps reproduce launch sourcetree add new binary path environment variable use sourcetree launch terminal git bash try use new binary observe binary found since terminal inherits sourcetrees set variables use sourcetree launch exlorer rightclick explorer window launch terminal git bash try use new binary observe new binary locatedexpected resultsi expected matter way launched terminal git bash variables would also note version showing unreleased version jira ive downloaded installed months ago,bug,Low,General,Needs Triage
wrong link report bug form,reporting bug presented form box highlights link page links old version clicked produces forbidden error pagegimagepng,bug,Low,General,Closed
dragdrop local repositories work correctly,ive organized local repositories folders sourcetree want reorder local repositories inside folder dragging dropping selected item onto another position inside folder item placed outside folder afterwardsmy original view looks like folder repo repo repo one want move folder bafter ive dragged dropped new position view looks like folder repo repo folder b repo placed outside folder,bug,Medium,General,Closed
sourcetree commit screen refreshing always,hi latest release started see issue lot happens matter many times restart sourcetree itll keep happeningdescription problemthe commit screen staged un staged sections code changes right side section action reloading ui example stage file throw exception ui wont refresh see file still unstaged section restart sourcetree would see file moved staging section normally current behavior ui refreshing action commit screen staging unstaging discarding etc expected behavior ui always refresh reflect changes tool ui always,bug,Low,General,Closed
crash checking branch browser,steps go bitbucket repository browser navigate branches select branch click checkout checkout sourcetree click open sourcetree browser popup click checkout sourcetree url actions popupactual resultapplication crashedexpected resultselected branch checked active,bug,Low,General,Closed
repository settings optional extended integration eg bitbucket server persisted,latest windows build integration local bitbucket server account persisted repositories eg checking branches via bitbucket server always causes problems optional extended integration options repository savedsteps reproduce change respository extended settings standard bitbucket server save changes close sourcetree open sourcetree verify extended settings stored,bug,Low,remote,Needs Triage
source v refresh issue,upgrading v found order see changes file refresh sourcetree f even stage changes checkout new branch changes reflected refreshps version using v mentioned list using b dropdown belowimagepng,bug,Low,General,Closed
open remote url customization,company use bitbucket server want see repository web enter browser url go repo settings choose edit remote repository set host type bitbucket server host root url click remote button opens url url valid like feature works bitbucket server cant find ways fix behavior,bug,Low,Bitbucket,Needs Triage
crash edit remote,open repository settings page remotes select default remote click edit crash reproduced every time repository hosted github cloned using repository list inside sourcetree linked github account deleting readding remote didnt change problem event log entryanwendung sourcetreeexe frameworkversion v beschreibung der prozess wurde aufgrund einer unbehandelten ausnahme beendet ausnahmeinformationen systemnullreferenceexception bei sourcetreeviewmodelremotedetailsdialogviewmodelseturlsystemstring bei sourcetreeviewmodelremotedetailsdialogviewmodelctorsourcetreemodelrepository systemstring systemstring systemcollectionsgenericlistsystemstring sourcetreemodelrepositoryremoteprojectlink systemactionsourcetreeviewmodelabstractdialogviewmodelint sourcetreecustomactionsicustomactionsmanager sourcetreeschedulerischedulermanager sourcetreerepositoriesirepositorymanager sourcetreediagnosticsitracemanager sourcetreescheduleridispatcher sourcetreeaccountsiaccountmanager sourcetreediagnosticsifailurehandler sourcetreedvcssidvcsmanager sourcetreerepositoriesirepositorymonitormanager sourcetreeviewfilelistsifilelistviewmanager sourcetreeviewcontainerifilelistcontainerviewmanager sourcetreeviewdiffidiffviewmanager sourcetreeconfigurationiconfigurationmanager sourcetreeviewprocessiprocessdialogviewmanager sourcetreeviewchangesetsichangesetviewmanager sourcetreenotificationsinotificationsmanager bei sourcetreeviewmodelreposettingsdialogviewmodeleditremote bei msinternalcommandscommandhelperscriticalexecutecommandsourcesystemwindowsinputicommandsource boolean bei systemwindowscontrolsprimitivesbuttonbaseonclick bei systemwindowscontrolsbuttononclick bei systemwindowscontrolsprimitivesbuttonbaseonmouseleftbuttonupsystemwindowsinputmousebuttoneventargs bei systemwindowsroutedeventargsinvokehandlersystemdelegate systemobject bei systemwindowsroutedeventhandlerinfoinvokehandlersystemobject systemwindowsroutedeventargs bei systemwindowseventrouteinvokehandlersimplsystemobject systemwindowsroutedeventargs boolean bei systemwindowsuielementreraiseeventassystemwindowsdependencyobject systemwindowsroutedeventargs systemwindowsroutedevent bei systemwindowsuielementonmouseupthunksystemobject systemwindowsinputmousebuttoneventargs bei systemwindowsroutedeventargsinvokehandlersystemdelegate systemobject bei systemwindowsroutedeventhandlerinfoinvokehandlersystemobject systemwindowsroutedeventargs bei systemwindowseventrouteinvokehandlersimplsystemobject systemwindowsroutedeventargs boolean bei systemwindowsuielementraiseeventimplsystemwindowsdependencyobject systemwindowsroutedeventargs bei systemwindowsuielementraisetrustedeventsystemwindowsroutedeventargs bei systemwindowsinputinputmanagerprocessstagingarea bei systemwindowsinputinputmanagerprocessinputsystemwindowsinputinputeventargs bei systemwindowsinputinputprovidersitereportinputsystemwindowsinputinputreport bei systemwindowsinterophwndmouseinputproviderreportinputintptr systemwindowsinputinputmode int systemwindowsinputrawmouseactions int int int bei systemwindowsinterophwndmouseinputproviderfiltermessageintptr msinternalinteropwindowmessage intptr intptr boolean byref bei systemwindowsinterophwndsourceinputfiltermessageintptr int intptr intptr boolean byref bei mswinhwndwrapperwndprocintptr int intptr intptr boolean byref bei mswinhwndsubclassdispatchercallbackoperationsystemobject bei systemwindowsthreadingexceptionwrapperinternalrealcallsystemdelegate systemobject int bei systemwindowsthreadingexceptionwrappertrycatchwhensystemobject systemdelegate systemobject int systemdelegate bei systemwindowsthreadingdispatcherlegacyinvokeimplsystemwindowsthreadingdispatcherpriority systemtimespan systemdelegate systemobject int bei mswinhwndsubclasssubclasswndprocintptr int intptr intptr bei mswinunsafenativemethodsdispatchmessagesystemwindowsinteropmsg byref bei systemwindowsthreadingdispatcherpushframeimplsystemwindowsthreadingdispatcherframe bei systemwindowsapplicationrundispatchersystemobject bei systemwindowsapplicationruninternalsystemwindowswindow bei sourcetreeappmain,bug,Low,General,Closed
github repositories showing remote repositories,adding github account github repositories showing list bitbucket repositories show okimagepngimagepng,bug,Low,General,Closed
tab name cloned repository overruns close x button,imagepng,bug,Low,Bitbucket,Needs Triage
source tree version windows professional hangs,noticed times happening mostly multi monitor environment moving source tree window one window ever right mouse click options works clicking right mouse st icon task bar selecting close st,bug,Low,UX,Needs Triage
indexlock error visual studio opened,lot git commands example creating new feature git flow give error indexlock already exists check windows explorer andor commandline dont see file present git folder thoughi found close al visual studios problem gonei believe visual studio teams tab sort git integration conflicts sourcetreemy sourcetree version visual studio professional,bug,Low,Git,Needs Triage
git tutorial bug,hi cant find category reporting documentation bugs git tutorial ill place issue sourcetree categorythe tutorial page contains statements likerename remote connection names missing happens throughout page,bug,Low,Git,Needs Triage
sourcetree keeps asking password bitbucketorg,sourcetree keeps asking username password bitbucketorg reasonevery minutes popup appears asking credentials use ssh open repositories probably still using none open dont even bitbucketorg repositories open authentication settings accounts select new tab remote accountsi cannot find reason think trying login bitbucketi marked major happens every minutes absolutely infuriatingi also cannot select right version windows downloaded website says doesnt exist selected closest version,bug,Low,Bitbucket,Needs Triage
sourcetree crashes every time try checkout bitbucket,received new pc reinstall applications reason unable check followed troubleshooting steps related app password section success require assistance asap unable deploy dev config uat environmentthank,bug,Low,Bitbucket,Long Term Backlog
sourcetree auto suspend windows,im use sourcetree day update open sourcetree automatic suspend try uninstall control panel clear data appdata install help auto suspend ps im use windows bit download sourcetree lastest version windows videos,bug,Low,General,Needs Triage
crash closing options dialog,whatever make changes options dialog sourcetree crashes closing iti see events windows log events nothing help resolve issue,bug,Low,General,Needs Triage
wrong items suggested deletion,str open new tab search repository make sure list shown repositories filtered first item changed press delete button right click select delete expected resulthighlighted rightclicked items offered deleted actual resultresult inconsistent initially modal dialog offered confirm deletion first item list case folder point hidden due filteringlater saw offering delete one repositorysometimes worked expected note dialog shows version jira doesnt allow select put,bug,Low,UX,Needs Triage
unable resolve conflicts using source tree v,unable resolve conflicts using source tree v,bug,Low,Bitbucket,Needs Triage
scrolling bottom file content pane freezes program,im using version windows following reproduction steps lead issue create new git repository create two new files many lines text large vertical width enough provoke scroll bar sourctree select files sourcetree unstaged files contents pane scroll bottom using mouse scroll wheel sourcetree stop responding must closed task bar,bug,Low,General,Closed
unable open kdiff external tool resolve conflicts,unable open kdiff external tool resolve conflictsdetails software installed systemsource tree version imagepng,bug,Low,General,Needs Triage
commit time h format,commit time displayed h whereas windows time set h format french settingsthe time currently displayed h format without pm indication really annoying,bug,Low,General,Needs Triage
modal window create patch usable smaller screens,screen max pixels height open sourcetree actions create patch product opens form modal window bigger height screen scrollable therefore unable use application displayi use latest windows version cannot find affectsversion field,bug,Low,UX,Needs Triage
version crash sometime trying open repository local repositories,stepsopen sourcetree win introduce ssh key repo opened page local repository showed open local repository internet connection need server need reached expected everytime step sourcetree load repoactual step times sourcetree becomes unresponsive crash seconds,bug,Low,General,Needs Triage
scrolling block,sometimes scrolling stages panel application blocks need restart,bug,Low,Git,Closed
push popup branches listed allow proceed,started happening updated latest version sourcetree windows home version bitimagepng,bug,Low,Bitbucket,Needs Triage
line fully visible diff,line diff clipped enddespite fully scrolling right characters arent displayed diff view seen situation multiple times reproductible chunk causing issue chunks long lines cause issuesee attached screenshot blurred detailscurrent sourcetree version indicated affecting latest released version situation seen file status staged unstaged files note staging unstaging chunk doesnt correct issuescreenshotimagepng,bug,Low,UX,Needs Triage
sourcetree windows hangs,sourcetree hangs whenever tried preview changes different many files content long clicking hangsfreezes responding taskbar unclickable im using windows issue home laptop using mac,bug,Low,Git,Closed
big problems high refresh rate monitors,one monitor runs hz one runs hz open sourcetree hz monitor works correctly however hz monitor causes monitors turn repeatedly im guessing graphics card resetting fix must turn hz monitor move sourcetree hz monitor turn hz monitor againi believe recent regression use sourcetree everyday didnt notice behavior using sourcetree however doesnt appear dropdown creating ticket,bug,Low,General,Needs Triage
accessing remote account closes sourcetree,set sourcetree new computer started cloning remote repository one part hand confirm access keys passwords etc place click remote tab remote account clone tab sourcetree closes without error message,bug,Low,remote,Needs Triage
setting lost repository settings dialog,h step go settingsstep navigate advanced window uncheck use global user settings well remove ad start namestep click okh step go settingsstep navigate advanced windowactual results changes settings lostexpected results changes remain,bug,Low,General,Needs Triage
push changes immediately field frequently becomes,push changes immediately field frequently becomes clear hot wo make point correct locationimagepng,bug,Low,General,Needs Triage
calendar disappears scrolling page continuously,steps reproduce open app proizd select field calendar scroll page continuously scroll page continuouslyexpected results calendar screen casesactual results calendar disappears screenenvironment iphone xr ios,bug,Low,Bitbucket,Closed
need offline installer,source binaries provided subjected application sourcetreesetupexe trying connect internet install software looking offline installerinstaller doesnt need internet connectivity install source treecan please let us know get offline installer sourcetree packaged readily install,bug,Low,General,Needs Triage
push ignores local branches dont match remote tracking branch,h issue summarylocal branches matching remote branch tracked ignored pushh steps reproduceif local branches dont match name remote branch tracked push dialog sourcetree completely ignores branches repeatable behaviour branches push fine smartgith expected resultsyou able push local branches hereh actual resultsi branch tracking branch diffrent name tracking branch st doesnt display pushing knows needs pushedh workaroundcurrently known workaround behavior workaround added available,bug,Low,branch,Needs Triage
sourcetree crashes remote repository available,happens prompted upgrade version list unreleased version software told use version downloads main websitemy remote repository available know need able add another remote repository go remote tab entire program crashes closes,bug,Low,Git,Needs Triage
popup window position,popup confirmation window appears main window bounds unable dragit seems popup position calculated according biggest screen height monitor setup one rotated vertically screenshot displays position popup window,bug,Low,General,Needs Triage
sourcetree deletes file stage,sometimes sourcetree deletes file files stage cant figure circumstances related behavior seems happening accidentally sometimes delete one files state changed stage files subwindow staged file state deleted,bug,Low,General,Needs Triage
popups flashes periodically contents,updating windows several popups appear quickly disappear consecutively every amount time maybe hour extremely annoying tried removing atlassian folders appdata reinstalled sourcetree problem persists seems nothing interesting logs fix close sourcetreethere another person reporting problem,bug,Low,General,Needs Triage
git submodules vulnerability sourcetree windows cve,vulnerability sourcetree macos windows could reveal git user credentials via maliciously crafted url attacker vulnerability triggered affected version git used execute git clone command malicious urlaffected versions atlassian sourcetree mac allow remote attackers view sensitive information via information disclosure vulnerability gitaffected versions atlassian sourcetree windows allow remote attackers view sensitive information via information disclosure vulnerability gitaffected versions windows version earlierfixed versions windows version released sourcetree windows version contains fixes issues downloaded additional details see full advisory,bug,Low,Git,Closed
pushing new branch gives false eror messag git refformat rules,silly behaviour noticed years create new branch visual studio create commits try push branch github sourcetree using push button check new branch popup local name copied remote name press push popup error displayed remote branch local branch myname invalid ref names must follow git refformat rules completed errors see cut remote name paste back pushing works dont know dont see spaces anythinga silly little trick get working must banging head ever found,bug,Low,remote,Needs Triage
unable clone remote repository,hello unable clone remote repository tried suggested clearing files userhost passwd deleting accounts saved authentification restarting sourcetree dealing issue days nowi attach message showscommand git c diffmnemonicprefixfalse c corequotepathfalse nooptionallocks lsremote fatal remote error captcha requiredyour bitbucket account locked unlock log mustsolve captcha typically caused many attempts login anincorrect password account lock prevents scm client accessingbitbucket mirrors solved even enter passwordcorrectlyif currently logged bitbucket via browser may need tologout log back order solve captchavisit bitbucket details,bug,Low,Bitbucket,Closed
cannot launch sourcetree,hi im currently experiencing issue opening sourcetree windows installed im opening gets instantly closed without issue notification popping tried selftroubleshooting luck far tried remove appdatasource folders reinstalled didnt allow set config sure proceed thanks,bug,Low,General,Needs Triage
rebase children commit interactively doesnt workcyrillic letters path,open git project sourcetree path cyrillic letters click rebase children commit interactively history commitsimagepngit opens interactive rebase window empty imagepngif put git project place doesnt cyrillic letters path opens interactive rebase window commits supposed toimagepngheres video demonstration bug see video path hbooksprogrammingcmastering wpf doesnt show commits list click rebase children commit interactively menu copy git project hbooksprogrammingcmastering wpf path click rebase children commit interactively menu commits show list theyre supposed,bug,Low,Git,Needs Triage
,email email facebook facebook facebook login failed cant use facebook log app website theres issue implementation facebook login,bug,Low,Bitbucket,Closed
authorization users account possible social network facebook,coloraenviromentcolor coloracolor colorccdhuawei honor model aumlcolorcolora colorcaffandroid colorcolorcolora colorfscreen resolution xcolorcolorcolorfcolordaappcolor jeleznodorojnye bilety vcolorcolorffabsteps reproducecolor colorffb open app colorajeleznodorojnye biletycolorcolor colorffbclick menu upper left corner color colorffbclick coloramy accountcolorcolor colorffbselect proposed authorization colorcolorasing facebookcolorcolorffbcolorcoloraexpected resultcolor coloralogin successfullycolorcolordebactual resultcolor colordeberror login failed cant use facebook log app website theres issue implementation facebook logincolorscreenshot codejava,bug,Low,ChangeSetViewManager,Needs Triage
remote local branch shown push menu remotes,project checked source tree three local branches origin secondary remote different remoteswhen go push secondary remote one added checkout first remote cannot push local branch secondary remote second origin local branchs first remote available caused inadvertently push origins local branch secondary remote didnt notice missing confused knowing needed push master see screenshot exampleimagepng,bug,Low,UX,Needs Triage
sourcetree registration fails,hi teami trying register sourcetree fails oops found dead link happens whether try sourcetree try via web atlassian id satishkumarramachandransccommailtosatishkumarramachandransccom please help fix,bug,Low,Bitbucket,Needs Triage
remote github repository search work,browsing remote repositories sourcetree nicely shows list available github repositories account enter text search box however text know give match list goes empty red cross icon overlay appears github account soon clear search box icon overlay dissappears get full list repos since large amount repos search quite importantnote sourcetree windows version actually jira doesnt allow select versionreproduction open new tab click remote button select appropriate github account list remote accounts watch list github repos populate enter text search box return matchexpected result list repositories filtered entered textactual result list repos turns empty red cross icon overlay appears top github account gravatar hover red cross shows mentioning validation failed see imageimagepng,bug,Low,Git,Closed
cant push,hello exectue push everything looks fine error dialog shown push button confirmed dialog closed still unpushed commits please anyone help solve problem,bug,Low,Git,Needs Triage
sourcetree crashes switching remote tab,hellowhen switch remote tab remote repositories sourcetree suddenly crashes two log entries occures crash happens entries error sourcetreemodelrepository log repository existerror sourcetreeexceptionsremotehostexception log failed list teams user olafvolafkadoes anyone problem anyone solution,bug,Low,remote,Closed
sourcetree aplicacin se cae tras iniciar,la aplicacin sourcetree para windows se cuelga tra iniciar la carga vale mencionar que lo que hice tras instalarlo fue loguearme travs de oauth cuando nuevamente volv iniciar la aplicacin gener este problema menciono tambien que realizado ningn cambio de clave continuacin el detalle del log loghost initializing normal modeerror sourcetreeexceptionsremotehostexception log failed list teams user jleonardodevelopererror sourcetreeexceptionsremotehostexception log failed list teams user jleonardodevelopererror sourcetreeexceptionsremotehostexception log failed list teams user jleonardodevelopererror sourcetreeexceptionsremotehostexception log failed list teams user jleonardodeveloper,bug,Low,General,Needs Triage
site performance low image large,steps reproduce open site press f click tab source open window click tab left block page follow link topcekdpuaimagessliderzvernenniajpg result site loading less secondsactual result enter main page site loaded secondsnotes image compressed,bug,Low,UX,Closed
site performance low scripts head site,preconditions thise site made knees university prepare ur eyes ready u see dsteps reproduce open site press crtl uexpected result site loading less secondsactual result enter main page site loaded secondsnotes move scripts site footer reduce number update joomla latest version,bug,Low,Web,Closed
ssh agent overloading cpu,long time ago observe long idle sshagent process loads one cores core intel core windows reinstall os solve problem every time leave laptop running source tree night morning get guaranteed situation currently use version bug independent thisimagepng,bug,Low,General,Needs Triage
staging shared submodule leads deletion files,heyhoi set shared submodule whenever stage file sourcetree shows files contents deleted effectively sourcetree states staging deleted file unstage file deleted add file via terminal works flawlessly think tricky thing shared submodule part sourcetree trouble could something wrong belief sourcetree simple git add works command linei set shared submodule followed clone project serve shared submodule locally directory shared submodule modify local config project adding worktree corefor projects sharing submodule add submodule means effectively two checked copies project delete respective submodule folder gitsubmodule delete content submodule directory apart git file modify git submodule directory point path project setup reason shared submodule code base across different projects way change file code base applied projects without pull respective submodule first,bug,Low,Git,Needs Triage
unable login source tree,able login stash link opening link source tree shows error valid source pathurl,bug,Low,Bitbucket,Needs Triage
